id,score
resnet18_1e_i0,0.04020100502512563
resnet18_1e_i1,0.08542713567839195
resnet18_1e_i2,0.07537688442211055
resnet18_2e_i0,0.06532663316582915
resnet18_2e_i1,0.07035175879396985
resnet18_2e_i2,0.12060301507537688
resnet18_3e_i0,0.06532663316582915
resnet18_3e_i1,0.05025125628140704
resnet18_3e_i2,0.07035175879396985
resnet18_5e_i0,0.08040201005025126
resnet18_5e_i1,0.08542713567839195
resnet18_5e_i2,0.06532663316582915
resnet18_10e_i0,0.08040201005025126
resnet18_10e_i1,0.07035175879396985
resnet18_10e_i2,0.05527638190954774
resnet34_1e_i0,0.1407035175879397
resnet34_1e_i1,0.07035175879396985
resnet34_1e_i2,0.07537688442211055
resnet34_2e_i0,0.05527638190954774
resnet34_2e_i1,0.08040201005025126
resnet34_2e_i2,0.06030150753768844
resnet34_3e_i0,0.07035175879396985
resnet34_3e_i1,0.08040201005025126
resnet34_3e_i2,0.06030150753768844
resnet34_5e_i0,0.09547738693467336
resnet34_5e_i1,0.06532663316582915
resnet34_5e_i2,0.05025125628140704
resnet34_10e_i0,0.07537688442211055
resnet34_10e_i1,0.06532663316582915
resnet34_10e_i2,0.07537688442211055
resnet50_1e_i0,0.09547738693467336
resnet50_1e_i1,0.05527638190954774
resnet50_1e_i2,0.12060301507537688
resnet50_2e_i0,0.05025125628140704
resnet50_2e_i1,0.09045226130653267
resnet50_2e_i2,0.06532663316582915
resnet50_3e_i0,0.08542713567839195
resnet50_3e_i1,0.06532663316582915
resnet50_3e_i2,0.08542713567839195
resnet50_5e_i0,0.09045226130653267
resnet50_5e_i1,0.10050251256281408
resnet50_5e_i2,0.08040201005025126
resnet50_10e_i0,0.07035175879396985
resnet50_10e_i1,0.06030150753768844
resnet50_10e_i2,0.06532663316582915
resnet101_1e_i0,0.10050251256281408
resnet101_1e_i1,0.10552763819095477
resnet101_1e_i2,0.10552763819095477
resnet101_2e_i0,0.12562814070351758
resnet101_2e_i1,0.09547738693467336
resnet101_2e_i2,0.07035175879396985
resnet101_3e_i0,0.05025125628140704
resnet101_3e_i1,0.07035175879396985
resnet101_3e_i2,0.05527638190954774
resnet101_5e_i0,0.06532663316582915
resnet101_5e_i1,0.10050251256281408
resnet101_5e_i2,0.09045226130653267
resnet101_10e_i0,0.06532663316582915
resnet101_10e_i1,0.09547738693467336
resnet101_10e_i2,0.06030150753768844
resnet152_1e_i0,0.1306532663316583
resnet152_1e_i1,0.12060301507537688
resnet152_1e_i2,0.12562814070351758
resnet152_2e_i0,0.11055276381909548
resnet152_2e_i1,0.11055276381909548
resnet152_2e_i2,0.07537688442211055
resnet152_3e_i0,0.08040201005025126
